application_date|zone|date_2|zone_2|date_3|zone_3|date_awarded|zone_awarded
7/16/2023|Core_Enchantment_Zone|7/16/2023|Stuart_Zone|7/16/2023|Eightmile||
6/14/2023|Core_Enchantment_Zone|8/2/2023|Core_Enchantment_Zone|6/15/2023|Core_Enchantment_Zone||
9/9/2023|Core_Enchantment_Zone|9/16/2023|Core_Enchantment_Zone|9/5/2023|Core_Enchantment_Zone||
6/18/2023|Core_Enchantment_Zone|6/18/2023|Snow_Zone|6/18/2023|Core_Enchantment_Zone||
7/15/2023|Colchuck_Zone|7/29/2023|Colchuck_Zone|9/2/2023|Colchuck_Zone||
9/10/2023|Colchuck_Zone|9/17/2023|Colchuck_Zone|9/14/2023|Colchuck_Zone||
9/6/2023|Core_Enchantment_Zone|8/30/2023|Core_Enchantment_Zone|8/30/2023|Colchuck_Zone||
6/3/2023|Colchuck_Zone|5/27/2023|Colchuck_Zone|9/9/2023|Colchuck_Zone|6/3/2023|Colchuck_Zone
8/25/2023|Core_Enchantment_Zone|8/25/2023|Snow_Zone|8/25/2023|Colchuck_Zone||
7/18/2023|Core_Enchantment_Zone|5/30/2023|Stuart_Zone|8/15/2023|Colchuck_Zone|5/30/2023|Stuart_Zone
8/26/2023|Snow_Zone|8/25/2023|Snow_Zone|6/17/2023|Snow_Zone||
7/27/2023|Colchuck_Zone|9/7/2023|Colchuck_Zone|9/21/2023|Colchuck_Zone||
8/12/2023|Colchuck_Zone|7/14/2023|Core_Enchantment_Zone|7/28/2023|Snow_Zone||
7/26/2023|Core_Enchantment_Zone|9/8/2023|Core_Enchantment_Zone|7/18/2023|Snow_Zone||
8/11/2023|Core_Enchantment_Zone|8/12/2023|Core_Enchantment_Zone|8/19/2023|Core_Enchantment_Zone||
8/17/2023|Core_Enchantment_Zone|8/7/2023|Core_Enchantment_Zone|8/21/2023|Core_Enchantment_Zone||
9/25/2023|Core_Enchantment_Zone|9/18/2023|Core_Enchantment_Zone|10/2/2023|Core_Enchantment_Zone||
8/1/2023|Snow_Zone|8/1/2023|Colchuck_Zone|8/1/2023|Core_Enchantment_Zone||
10/27/2023|Core_Enchantment_Zone|10/29/2023|Core_Enchantment_Zone|10/30/2023|Core_Enchantment_Zone|10/29/2023|Core_Enchantment_Zone
8/23/2023|Core_Enchantment_Zone|8/23/2023|Colchuck_Zone|8/23/2023|Eightmile||
